fecha,modo,afluencia
2006-06-12,Metrobús,240553
2006-06-13,Metrobús,251206
2006-06-14,Metrobús,260498
2006-06-15,Metrobús,254505
2006-06-16,Metrobús,246785
2006-06-17,Metrobús,132058
2006-06-18,Metrobús,72049
2006-06-19,Metrobús,241273
2006-06-20,Metrobús,248721
2006-06-21,Metrobús,233976
2006-06-22,Metrobús,248260
2006-06-23,Metrobús,246426
2006-06-24,Metrobús,129682
2006-06-25,Metrobús,75179
2006-06-26,Metrobús,239172
2006-06-27,Metrobús,241377
2006-06-28,Metrobús,253603
2006-06-29,Metrobús,250781
2006-06-30,Metrobús,252631
2006-07-01,Metrobús,128712
2006-07-02,Metrobús,72299
2006-07-03,Metrobús,240749
2006-07-04,Metrobús,246484
2006-07-05,Metrobús,254340
2006-07-06,Metrobús,245354
2006-07-07,Metrobús,250497
2006-07-08,Metrobús,130988
2006-07-09,Metrobús,72357
2006-07-10,Metrobús,231318
2006-07-11,Metrobús,254189
2006-07-12,Metrobús,249462
2006-07-13,Metrobús,251062
2006-07-14,Metrobús,260993
2006-07-15,Metrobús,136641
2006-07-16,Metrobús,87638
2006-07-17,Metrobús,241304
2006-07-18,Metrobús,247182
2006-07-19,Metrobús,246521
2006-07-20,Metrobús,244299
2006-07-21,Metrobús,245908
2006-07-22,Metrobús,124914
2006-07-23,Metrobús,76044
2006-07-24,Metrobús,226204
2006-07-25,Metrobús,249820
2006-07-26,Metrobús,253392
2006-07-27,Metrobús,249466
2006-07-28,Metrobús,254200
2006-07-29,Metrobús,135263
2006-07-30,Metrobús,84494
2006-07-31,Metrobús,260353
2006-08-01,Metrobús,274967
2006-08-02,Metrobús,270607
2006-08-03,Metrobús,252914
2006-08-04,Metrobús,265044
2006-08-05,Metrobús,132519
2006-08-06,Metrobús,84995
2006-08-07,Metrobús,247877
2006-08-08,Metrobús,259805
2006-08-09,Metrobús,264689
2006-08-10,Metrobús,269865
2006-08-11,Metrobús,277679
2006-08-12,Metrobús,164884
2006-08-13,Metrobús,84133
2006-08-14,Metrobús,248697
2006-08-15,Metrobús,268322
2006-08-16,Metrobús,272632
2006-08-17,Metrobús,273202
2006-08-18,Metrobús,282322
2006-08-19,Metrobús,142938
2006-08-20,Metrobús,79651
2006-08-21,Metrobús,255820
2006-08-22,Metrobús,265950
2006-08-23,Metrobús,271776
2006-08-24,Metrobús,267971
2006-08-25,Metrobús,265267
2006-08-26,Metrobús,138074
2006-08-27,Metrobús,71246
2006-08-28,Metrobús,261312
2006-08-29,Metrobús,268863
2006-08-30,Metrobús,280030
2006-08-31,Metrobús,277404
2006-09-01,Metrobús,269721
2006-09-02,Metrobús,144573
2006-09-03,Metrobús,81423
2006-09-04,Metrobús,265608
2006-09-05,Metrobús,267208
2006-09-06,Metrobús,272585
2006-09-07,Metrobús,264794
2006-09-08,Metrobús,286125
2006-09-09,Metrobús,157009
2006-09-10,Metrobús,86370
2006-09-11,Metrobús,271207
2006-09-12,Metrobús,276537
2006-09-13,Metrobús,278952
2006-09-14,Metrobús,275538
2006-09-15,Metrobús,217212
2006-09-16,Metrobús,87651
2006-09-17,Metrobús,77128
2006-09-18,Metrobús,256076
2006-09-19,Metrobús,256912
2006-09-20,Metrobús,254043
2006-09-21,Metrobús,247408
2006-09-22,Metrobús,259357
2006-09-23,Metrobús,141941
2006-09-24,Metrobús,78087
2006-09-25,Metrobús,245199
2006-09-26,Metrobús,250183
2006-09-27,Metrobús,248292
2006-09-28,Metrobús,254868
2006-09-29,Metrobús,268128
2006-09-30,Metrobús,139152
2006-10-01,Metrobús,77147
2006-10-02,Metrobús,246758
2006-10-03,Metrobús,250218
2006-10-04,Metrobús,249925
2006-10-05,Metrobús,245142
2006-10-06,Metrobús,252635
2006-10-07,Metrobús,135200
2006-10-08,Metrobús,75518
2006-10-09,Metrobús,244948
2006-10-10,Metrobús,240058
2006-10-11,Metrobús,255823
2006-10-12,Metrobús,246025
2006-10-13,Metrobús,255100
2006-10-14,Metrobús,138581
2006-10-15,Metrobús,79900
2006-10-16,Metrobús,248787
2006-10-17,Metrobús,252155
2006-10-18,Metrobús,251187
